P,TIE,Va,IQE,Composition
6.801796407,43.0268965,2.050548902,82,Y2GdSc2Al2GaO12:0.04Cr
6.281669994,45.92997175,2.04491018,60,Y3ScMgAl2SiO12:0.04Cr
6.533167,46.17102975,2.072954092,50,Gd3ScMgGa2SiO12:0.04Cr
7.491250831,46.27041103,2.226097804,6,Ca2LaZrScSiGa2:0.04Cr
5.96413839,49.14182958,2.093662675,45,Y3Mg2GaGe2O12:0.04Cr
5.545725216,44.80927261,1.922804391,92,Lu3Al4Mg0.5Si0.5O120.04Cr
7.228443113,47.77021215,2.262025948,8,Ca3Zr2SiGa2O12:0.04Cr
6.457485029,48.52063167,2.281986028,1.5,Ca3AlScGe3O12:0.04Cr
7.243912175,47.80653951,2.2750998,2,Ca3Zr2Ga2GeO12:0.04Cr
5.652927479,46.19152876,1.966267465,80,YLu2Al3MgSiO12:0.04Cr
5.936859614,47.12099028,2.172954092,34,Ca2YGa2AlGe2O12:0.04Cr
5.999733866,46.40689812,2.043512974,75,Gd3MgAlGa2GeO12:0.04Cr
6.083898869,49.17141043,2.09246507,36.3,Gd3Mg2GaGe2O12:0.04Cr
5.898270127,49.02869579,2.079341317,36.5,Y3Mg2AlGe2O12:0.04Cr
6.309115103,46.30777632,2.031536926,72.5,Lu3ScMgGa2GeO12:0.04Cr
5.930372588,46.4541237,2.045958084,80.2,Y3Ga3MgSiO12:0.04Cr
