P,TIE,Hf,Wl,Composition
6.801796407,43.0268965,0.049443617,745,Y2GdSc2Al2GaO12:0.04Cr
6.281669994,45.92997175,0.069532648,781,Y3ScMgAl2SiO12:0.04Cr
6.533167,46.18582017,0.062049211,818,Gd3ScMgGa2SiO12:0.04Cr
7.491250831,46.27041103,0.064996917,818,Ca2LaZrScSiGa2:0.04Cr
5.96413839,49.14182958,0.064493524,784,Y3Mg2GaGe2O12:0.04Cr
5.545725216,44.80927261,0.073554606,706,Lu3Al4Mg0.5Si0.5O120.04Cr
7.228443113,47.77021215,0.068754205,832,Ca3Zr2SiGa2O12:0.04Cr
6.457485029,48.52063167,0.078469179,790,Ca3AlScGe3O12:0.04Cr
7.243912175,47.80653951,0.059205298,830,Ca3Zr2Ga2GeO12:0.04Cr
5.652927479,46.19152876,0.077784149,734,YLu2Al3MgSiO12:0.04Cr
5.936859614,47.12099028,0.060949011,790,Ca2YGa2AlGe2O12:0.04Cr
5.999733866,46.40689812,0.049749804,782,Gd3MgAlGa2GeO12:0.04Cr
6.083898869,49.17141043,0.062313882,805,Gd3Mg2GaGe2O12:0.04Cr
5.898270127,49.02869579,0.067145421,771,Y3Mg2AlGe2O12:0.04Cr
6.309115103,46.30777632,0.071182948,770,Lu3ScMgGa2GeO12:0.04Cr
5.930372588,46.4541237,0.058826455,774,Y3Ga3MgSiO12:0.04Cr
