P,TIE,Hf,WL
6.978021248,45.77864668,0.060848316,780
5.813559322,43.94143126,0.050726724,705
7.017946162,43.26071309,0.04285673,763
6.766616692,43.37694476,0.061141738,707
6.886556722,43.2615624,0.044613994,729
7.006496752,43.2911876,0.042431085,748
8.145927036,43.06042287,0.036661967,795
8.154536391,43.03052355,0.037101992,810
5.674662933,45.07500113,0.066049469,723
5.675551556,45.07290002,0.066071537,744
5.763700593,46.85042537,0.085120537,760
5.587402519,43.29537467,0.047022538,703
6.796738226,45.84652945,0.065141,775
6.791937364,45.86130377,0.064993015,772
6.801529509,45.83178459,0.06528869,782
6.808698539,45.80972239,0.065509673,789
6.813466003,45.79505084,0.065656628,793
5.251722417,52.31395142,0.076626177,776
6.957663504,48.23546719,0.109814811,770
7.258216899,45.73380399,0.057067173,810
7.253879454,45.74845832,0.056911196,795
7.250185805,45.76093755,0.05677837,777
7.260382377,45.72648778,0.057145045,817
6.830964044,45.82579371,0.059453033,769
6.853266998,45.75676226,0.060172049,781
6.834299034,45.81547134,0.059560548,775
6.438114276,46.99849572,0.068984621,804
6.44584165,46.97464291,0.069200512,805
6.450980392,46.95878067,0.069344081,808
6.456108897,46.94295002,0.069487364,810
6.461227197,46.92715088,0.069630362,821
6.71864068,43.76259212,0.034000896,787
6.652673663,43.64928872,0.036656769,751
6.586706647,43.53598532,0.039312642,735
6.52073963,43.42268191,0.041968516,735
5.709145427,43.32133254,0.044889457,710
5.775112444,43.43463594,0.042233583,719
5.84107946,43.54793934,0.03957771,733
5.907046477,43.66124275,0.036921837,735
5.973013493,43.77454615,0.034265963,754
6.03898051,43.88784955,0.03161009,756
5.858737298,48.98286449,0.086052895,768
6.888911089,43.25547011,0.044698203,748
6.501064537,44.86090936,0.043226448,768
5.738617481,46.09971744,0.066928128,769
5.099535193,46.74302961,0.051888152,750
5.156754956,46.81762607,0.04986857,738
5.756407703,46.42553942,0.078250715,769
6.687656172,44.40914915,0.082362738,704
7.043090243,46.42741969,0.063446264,816
5.478443114,43.38861324,0.063824062,704
7.006387225,48.33588109,0.08121968,792
7.053173812,45.76480203,0.054475081,806
6.425120773,46.50682132,0.063272674,787
7.619523571,46.06452226,0.044187807,776
7.040812927,46.43509715,0.063371425,812
7.047638057,46.41208775,0.063595719,819
